Tissue;Species;Site;Year;Season;Nest ID;Age;d13C;d15N;Source;C:N
blood;striated caracara;franklin;2014;summer;pau19;fledgeling;-22.1;10.5;Balza et al. 2020;3.4
blood;striated caracara;franklin;2014;summer;pau19;fledgeling;-21.9;10.5;Balza et al. 2020;3.3
blood;striated caracara;franklin;2014;summer;pau04;fledgeling;-21.8;10.1;Balza et al. 2020;3.4
blood;striated caracara;franklin;2014;summer;pau20;fledgeling;-21.7;10.3;Balza et al. 2020;3.3
blood;striated caracara;franklin;2014;summer;pau05;fledgeling;-21.7;10.5;Balza et al. 2020;3.3
blood;striated caracara;franklin;2014;summer;pau09;fledgeling;-21.6;10.3;Balza et al. 2020;3.3
blood;striated caracara;franklin;2014;summer;pau20;fledgeling;-21.6;10.3;Balza et al. 2020;3.3
blood;striated caracara;franklin;2014;summer;pau09;fledgeling;-21.5;10.3;Balza et al. 2020;3.3
blood;striated caracara;franklin;2014;summer;pau04;fledgeling;-21.4;10;Balza et al. 2020;3.3
blood;striated caracara;franklin;2014;summer;pau10;fledgeling;-21;10.3;Balza et al. 2020;3.3
blood;striated caracara;franklin;2014;summer;pau01;fledgeling;-20.8;11.4;Balza et al. 2020;3.2
blood;striated caracara;franklin;2014;summer;pau08;fledgeling;-20.5;11.1;Balza et al. 2020;3.3
blood;striated caracara;franklin;2014;summer;pau09;fledgeling;-18;14.9;Balza et al. 2020;3.3
feather;goose;observatorio;2016;summer;;fledgeling;-22.3;13.6;This study;3.2
blood;striated caracara;franklin;2016;summer;pau05;fledgeling;-22.1;9.8;Balza et al. 2020;3.3
blood;striated caracara;franklin;2016;summer;pau09;fledgeling;-21.8;10;Balza et al. 2020;3.3
blood;striated caracara;franklin;2016;summer;pau09;fledgeling;-21.6;9.8;Balza et al. 2020;3.3
blood;striated caracara;franklin;2016;summer;pau22;fledgeling;-21.6;10;Balza et al. 2020;3.3
blood;striated caracara;franklin;2016;summer;pau27;fledgeling;-21.5;9.6;Balza et al. 2020;3.3
blood;striated caracara;franklin;2016;summer;pau27;fledgeling;-21.5;10;Balza et al. 2020;3.2
blood;striated caracara;franklin;2016;summer;pau08;fledgeling;-21.3;10.1;Balza et al. 2020;3.2
blood;striated caracara;franklin;2016;summer;pau14;fledgeling;-21.2;9.6;Balza et al. 2020;3.4
blood;striated caracara;franklin;2016;summer;pau23;fledgeling;-20.9;11;Balza et al. 2020;3.4
blood;striated caracara;franklin;2016;summer;pau23;fledgeling;-20.8;11.2;Balza et al. 2020;3.2
blood;striated caracara;franklin;2016;summer;pau10;fledgeling;-20.5;11.1;Balza et al. 2020;3.3
blood;striated caracara;franklin;2016;summer;pau10;fledgeling;-20.4;11.1;Balza et al. 2020;3.3
blood;magellanic penguin;observatorio;2016;summer;;fledgeling;-18.4;13.4;Dodino et al. 2022;3.3
blood;magellanic penguin;observatorio;2016;summer;;fledgeling;-18.4;13.5;Dodino et al. 2022;3.4
blood;magellanic penguin;observatorio;2016;summer;;fledgeling;-18.3;13.3;Dodino et al. 2022;3.3
blood;magellanic penguin;observatorio;2016;summer;;fledgeling;-18.3;13.3;Dodino et al. 2022;3.3
blood;magellanic penguin;observatorio;2016;summer;;fledgeling;-18.2;13.1;Dodino et al. 2022;3.3
blood;magellanic penguin;observatorio;2016;summer;;fledgeling;-18.2;13.5;Dodino et al. 2022;3.3
blood;magellanic penguin;observatorio;2016;summer;;adult;-18.2;14.3;Dodino et al. 2022;3.2
blood;magellanic penguin;observatorio;2016;summer;;adult;-18.2;14.5;Dodino et al. 2022;3.2
blood;magellanic penguin;observatorio;2016;summer;;fledgeling;-18.1;13.2;Dodino et al. 2022;3.3
blood;magellanic penguin;observatorio;2016;summer;;fledgeling;-18.1;13.2;Dodino et al. 2022;3.2
blood;magellanic penguin;observatorio;2016;summer;;fledgeling;-18.1;13.3;Dodino et al. 2022;3.3
blood;magellanic penguin;observatorio;2016;summer;;adult;-18.1;14.1;Dodino et al. 2022;3.3
blood;magellanic penguin;observatorio;2016;summer;;adult;-18.1;14.9;Dodino et al. 2022;3.2
